Desc	Family ID	S_dalli	E_babai	V_penis	S_velum	T_virginea	A_californica	C_concholepas	H_cracherodii	D_sirenkoi	V_oligotropha	L_scabra	C_septemvalvis	S_philippinensis	N_pompilius	N_megatrapezata	L_anatina	S_atlantica	A_discrepans	P_vernedei	O_vulgaris
(null)	OG0000061	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000062	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2
(null)	OG0000063	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000064	2	0	3	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0
(null)	OG0000065	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000066	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000067	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000068	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1
(null)	OG0000069	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	0	1	1	1	1
(null)	OG0000070	2	1	2	2	1	1	1	1	0	1	1	1	2	1	1	0	1	1	1	1
(null)	OG0000071	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
(null)	OG0000072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
(null)	OG0000073	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1
(null)	OG0000074	1	1	1	1	2	2	1	0	1	1	2	1	1	1	1	1	1	1	1	1
(null)	OG0000075	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	0	1	1	1
(null)	OG0000076	0	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	OG0000078	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	OG0000079	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
(null)	OG0000080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
(null)	OG0000081	1	1	2	2	1	1	1	1	1	1	1	1	2	0	1	1	0	1	2	0
(null)	OG0000082	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0000084	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000085	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0000086	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000087	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000088	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000089	1	1	1	1	2	2	1	1	0	0	2	1	1	2	1	1	0	0	1	2
(null)	OG0000090	1	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000091	2	0	2	2	1	2	2	0	1	0	1	0	2	1	1	0	1	1	2	0
(null)	OG0000092	6	0	0	12	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
(null)	OG0000093	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000094	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000095	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000096	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000097	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000098	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000099	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
(null)	OG0000100	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
(null)	OG0000102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
(null)	OG0000103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
(null)	OG0000104	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000105	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000106	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000107	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
(null)	OG0000108	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
(null)	OG0000109	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000110	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000111	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000112	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
(null)	OG0000113	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000114	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000115	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000116	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000117	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000118	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000119	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000120	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000121	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
(null)	OG0000122	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
